航次ID,船舶ID,进泊时间,离泊时间,船长,船宽,载重吨,船舶类型代码A,船舶类型代码B,泊位位置,装载量
551,563591000,1699152263,1699341037,333,60,299984,D,C,121.99610422984635 29.92340472293356,266690.63
552,255806339,1703408354,1703507042,366,51,158097,B,A,122.05279860785562 29.890331949101153,5865
553,354750000,1676535380,1676619158,292,45,181572,E,D,122.07685838333425 29.893054494052702,80314
554,477950300,1677024901,1677137566,366,48,140609,B,A,122.02459458045499 29.78192432924778,4452.5
555,352980766,1706422669,1706680074,230,32,53914,A,C,121.97377818306916 29.945100713933336,46474.1
556,636021101,1674094824,1674179416,280,40,66940,B,A,121.86014084053872 29.939446239013918,3902.1
557,416475000,1691864925,1691936955,335,46,103668,B,A,122.00749578533595 29.76871274276176,25000
558,412474590,1682903596,1682975643,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
559,441799000,1706484963,1706675516,108,18,6499,C,B,121.78323817164318 29.97243550629892,5708
560,538009208,1700101572,1700188036,146,23,13709,B,A,122.03102823282664 29.89508922632821,639
561,636020676,1706185521,1706308121,200,32,63241,E,D,122.07685838333425 29.893054494052702,25000
562,440473000,1674314691,1674342767,143,21,10299,B,A,122.06350371165705 29.891022988210633,102
563,372571000,1685604673,1685685747,119,20,11512,C,B,121.78323817164318 29.97243550629892,9600.27
564,447131000,1678162864,1678419564,333,60,319761,D,C,121.8177632951752 29.95400256789684,271098
565,477257600,1684842554,1685035510,295,46,179938,E,D,121.88299170323923 29.936601974988143,171175
566,636020143,1700291751,1700439278,333,60,320105,D,C,121.8177632951752 29.95400256789684,139320.5
567,563142100,1676786053,1676848406,300,42,78612,B,A,121.86982971079169 29.93642695035784,1000
568,563195900,1692562628,1692627420,183,36,38904,B,A,121.92547188203457 29.936120717921202,2361
569,636017038,1672663617,1672705021,209,30,34333,B,A,122.06350371165705 29.891022988210633,3179.1
570,311000377,1700785168,1700785469,225,36,54561,A,C,121.78323817164318 29.97243550629892,24100
571,538003746,1699035552,1699251921,292,45,178064,E,D,121.88299170323923 29.936601974988143,99967
572,374629000,1684519070,1684552972,145,22,12582,B,A,121.84116957510483 29.944137794036124,1119
573,636022458,1698287759,1698337298,226,37,54605,A,C,121.9808752760512 29.936644381754785,22000
574,538004570,1687861640,1687920956,229,32,81516,E,D,121.88299170323923 29.936601974988143,19145
575,636016176,1687397755,1687573702,120,20,10128,A,B,121.9561103968495 29.95190766488247,4499.21
576,413297720,1677811376,1677917878,172,27,24031,B,A,121.86442501839048 29.938071272210003,3500
577,354654000,1686812409,1686925184,400,59,199692,B,A,122.01772291936598 29.776682898612826,521
578,477083500,1688089105,1688276993,330,60,297123,D,C,121.99610422984635 29.92340472293356,127136
579,636020675,1682836600,1682959106,200,32,63235,E,D,121.88299170323923 29.936601974988143,53689
580,565460000,1702442276,1702527311,225,36,54702,A,C,121.97377818306916 29.945100713933336,12000
581,636022879,1704596954,1704667357,366,51,204748,B,A,122.0464197431265 29.8909733510863,817.6
582,352002410,1699293115,1699351213,137,25,12348,B,A,121.92225542141885 29.921236299120544,1060
583,477698600,1691756944,1691922571,366,52,156694,B,A,122.02107120092448 29.778912029292396,1000
584,565747000,1693054296,1693187782,337,45,122405,B,A,122.06000013409714 29.890552673105862,850
585,538008147,1681875890,1682041787,333,60,320596,D,C,121.8177632951752 29.95400256789684,67213.56
586,413280820,1690523734,1690560637,128,21,8407,B,A,121.92337754450146 29.91836008290917,19
587,414214000,1697255090,1697512097,333,60,308371,D,C,121.8177632951752 29.95400256789684,196508.69
588,249783000,1684501689,1684606767,330,48,134731,B,A,122.03704830124349 29.893930377836373,24762
589,538003072,1692158522,1692332331,315,50,122079,A,C,122.09094289999453 29.897187190163223,93614.64
590,563039700,1686224524,1686357152,353,54,178257,B,A,122.03704830124349 29.893930377836373,12263
591,538004558,1683693984,1683871292,140,21,14484,D,C,122.11536286626986 29.9081121196694,12109.71
592,477938700,1686112234,1686209251,146,22,12000,D,C,122.11536286626986 29.9081121196694,10000
593,371603000,1702431278,1702510952,100,18,5202,A,B,121.89868694105951 29.931472410600644,2300.67
594,354534000,1697143688,1697246464,292,45,175043,E,D,121.88299170323923 29.936601974988143,86000
595,441181000,1676526860,1676616948,113,18,8068,C,B,121.74664956036302 29.981807064148477,6000.87
596,412474590,1681871237,1681947617,110,18,4378,A,B,121.89906923112821 29.93256276320894,3950
597,636020600,1702420901,1702612462,400,61,255288,B,A,122.05636332082932 29.890401487700096,34272
598,477266100,1685090882,1685171527,93,15,3992,C,B,121.75102788409284 29.976417555460966,2999.64
599,636021323,1692581305,1692668299,294,32,67679,B,A,121.86670274091357 29.937366869184032,1830
600,636021101,1698535111,1698599674,280,40,66940,B,A,121.86014084053872 29.939446239013918,2376
601,636013373,1674697329,1674874050,333,60,318325,D,C,121.99610422984635 29.92340472293356,126436.98
602,477932400,1695194829,1695336550,170,26,33636,C,B,121.77782813498385 29.974398546735802,2956.88
603,351109000,1703650668,1703740659,316,46,90079,B,A,122.00749578533595 29.76871274276176,6786.5
604,228401800,1690171754,1690395910,400,62,221322,B,A,122.01772291936598 29.776682898612826,40134.7
605,412474590,1697867584,1697946556,110,18,4378,A,B,121.89868694105951 29.931472410600644,3950
606,413298170,1698732956,1698901449,100,15,2873,A,B,121.74526834273715 29.975417393334514,2004.04
607,219632000,1699311976,1699426301,399,60,214121,B,A,122.04040625503215 29.89264034445189,23261
608,636092792,1683229075,1683324964,300,48,116933,B,A,122.0464197431265 29.8909733510863,2307
609,563041500,1691418268,1691461604,172,28,22171,B,A,121.86982971079169 29.93642695035784,2070
610,356471000,1704946945,1705043780,124,20,12335,C,B,121.97812002297549 29.939168019254215,750.26
611,256381000,1686196487,1686240659,183,36,38897,B,A,121.92547188203457 29.936120717921202,3200
612,355784000,1682583087,1682750604,228,40,72910,D,B,121.75109782011569 29.9804931127261,40000
613,440824000,1697258622,1697337246,88,14,3414,C,B,121.74526834273715 29.975417393334514,2496.69
614,636010378,1676432499,1676529665,177,31,36733,C,B,121.78323817164318 29.97243550629892,9969.19
615,636018964,1677033551,1677122372,304,40,81462,B,A,122.03102823282664 29.89508922632821,7252
616,636092268,1701404291,1701497674,366,51,190668,B,A,122.04954154331483 29.890458695384908,18446.5
617,431342000,1706418575,1706521288,292,45,180737,E,D,121.88299170323923 29.936601974988143,73295
618,447184000,1691308012,1691566706,333,60,316648,D,C,121.81345119675835 29.956549406214588,267339
619,636018701,1684501661,1684591610,368,51,152344,B,A,122.01772291936598 29.776682898612826,20000
620,354434000,1706248442,1706325844,89,15,3968,C,B,121.75102788409284 29.976417555460966,3146.44
621,412474590,1680935341,1680998422,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
622,441113000,1694930010,1695002240,123,20,12514,C,B,121.97812002297549 29.939168019254215,993.17
623,248699000,1705144735,1705198125,293,40,72447,B,A,122.00491060230848 29.76673611935694,15600
624,354331000,1698818358,1698992475,183,32,46661,C,C,121.80463577215305 29.962969225989433,39886.3
625,351109000,1687208808,1687321090,316,46,90079,B,A,122.00749578533595 29.76871274276176,2971.1
626,249884000,1689298375,1690332005,330,60,299996,D,C,121.81345119675835 29.956549406214588,130224.22
627,416067000,1705565025,1705705335,149,24,19999,C,B,121.8960833011353 29.93290032975045,5499.51
628,477913900,1678344806,1678518577,333,60,299629,D,C,121.9900784144446 29.92800063526856,261653.98
629,241106000,1686635284,1686718701,292,45,179700,E,D,121.88299170323923 29.936601974988143,71526
630,477314400,1689654565,1689826849,290,47,96355,A,C,122.09094289999453 29.897187190163223,63017
631,447184000,1700612391,1700783351,333,60,316648,D,C,121.9900784144446 29.92800063526856,136796
632,477276600,1697862749,1697937780,335,43,101411,B,A,122.00749578533595 29.76871274276176,26859
633,477148800,1691940957,1692067018,400,59,197021,B,A,122.01772291936598 29.776682898612826,3660
634,372072000,1698815875,1698886157,96,15,3200,A,B,121.89906923112821 29.93256276320894,1611.56
635,440387000,1698037512,1698124817,97,16,3856,A,B,121.8960833011353 29.93290032975045,3000.16
636,636021460,1697674778,1697787552,146,24,19708,C,B,121.9561103968495 29.95190766488247,8666.38
637,413444430,1692870646,1692925411,114,17,6473,C,B,121.74664956036302 29.981807064148477,2000
638,305409000,1675593245,1675614729,212,30,34269,B,A,121.92909140408368 29.938775522735195,406
639,563167700,1684139017,1684225072,300,50,209963,E,D,122.07685838333425 29.893054494052702,70527
640,356904000,1678048594,1678077232,243,33,50855,B,A,122.04954154331483 29.890458695384908,321
641,353810000,1674623467,1674709797,97,16,3828,A,B,121.89906923112821 29.93256276320894,2970.64
642,538009400,1690427102,1690474754,304,40,85622,B,A,121.86014084053872 29.939446239013918,2040
643,440473000,1687760353,1687783879,143,21,10299,B,A,121.86670274091357 29.937366869184032,272
644,636020868,1698935890,1699016474,279,40,67164,B,A,122.03102823282664 29.89508922632821,3241
645,440564000,1683340592,1683423894,97,17,3983,A,B,121.89868694105951 29.931472410600644,1563.79
646,477625100,1695107257,1695351914,183,32,46238,C,B,121.74391419091693 29.98181953364116,40899.01
647,352986159,1705796951,1705930498,333,48,136899,B,A,121.83278587017914 29.947227829201804,3395.5
648,636021775,1698713555,1698912127,110,17,6775,A,B,121.9561103968495 29.95190766488247,3289.86
649,563853000,1699494310,1699919729,225,36,54603,A,C,121.97377818306916 29.945100713933336,46143.49
650,441441000,1693880362,1693982727,125,20,12647,C,B,121.9529721578593 29.94995541645756,10500
651,477915400,1687177725,1687401461,292,45,178332,E,D,122.07685838333425 29.893054494052702,160775
652,477728500,1675049897,1675155872,292,45,177921,E,D,121.88299170323923 29.936601974988143,79493
653,477348700,1676273949,1676359510,148,23,13295,B,A,122.06350371165705 29.891022988210633,2500
654,477400900,1697498402,1697502157,134,20,8732,B,A,122.02459458045499 29.78192432924778,1800
655,416068000,1680923988,1681183755,149,24,19999,C,B,121.89581318351006 29.93222177093501,18000
656,636016242,1681966235,1682059231,292,40,72370,B,A,121.86442501839048 29.938071272210003,587
657,441907000,1706864945,1706940350,90,15,3692,C,B,121.75102788409284 29.976417555460966,2377.08
658,636020068,1691805344,1691973934,182,32,45557,C,B,121.75439821138373 29.979150371202415,30000
659,440427000,1675840600,1675918830,120,20,11430,C,B,121.78323817164318 29.97243550629892,10427.84
660,311000182,1705371789,1705476396,285,44,82487,A,C,122.09094289999453 29.897187190163223,68533
661,477103600,1675217185,1675297620,110,20,7995,D,C,122.11536286626986 29.9081121196694,6520.97
662,636015927,1700360957,1700533182,120,20,9951,A,B,121.9561103968495 29.95190766488247,4993.05
663,212714000,1705811364,1705885020,260,32,50632,B,A,121.83825180579714 29.945235140108068,10546
664,538010002,1706686245,1706763858,185,32,49994,C,B,121.75109782011569 29.9804931127261,15118.06
665,413313910,1678507975,1678597833,111,18,4546,A,B,121.89906923112821 29.93256276320894,2503.49
666,353163000,1699933358, None,245,43,119346,E,D,121.88299170323923 29.936601974988143,33900
667,477790500,1676830222,1676892451,336,48,115297,B,A,122.01299469099648 29.772993330553064,2836
668,255900127,1705634461,1705710846,160,25,25198,C,B,121.77782813498385 29.974398546735802,9513
669,403581000,1698378660,1698454983,183,32,45963,C,B,121.74391419091693 29.98181953364116,5232.78
670,235009850,1700592310,1700661499,300,43,78268,B,A,121.86014084053872 29.939446239013918,1195
671,352001150,1685702558,1685834029,96,15,3124,A,B,121.89868694105951 29.931472410600644,1500.16
672,563196600,1705546623,1705649660,230,37,57984,A,B,121.9808752760512 29.936644381754785,22300
673,636092814,1673910160,1673955993,300,48,116933,B,A,122.06000013409714 29.890552673105862,757.9
674,477455800,1693209894,1693290694,183,35,55604,C,B,121.9529721578593 29.94995541645756,4972.64
675,372653000,1683350322,1683424845,112,19,8732,C,B,121.97812002297549 29.939168019254215,996
676,373404000,1704670187,1704795498,366,48,175327,B,A,122.0464197431265 29.8909733510863,15347
677,353857000,1676992825,1677031402,107,17,6485,C,B,121.78323817164318 29.97243550629892,5000.12
678,563017700,1677805078,1677891843,109,20,7996,D,C,122.11536286626986 29.9081121196694,6976.76
679,538004167,1687788285,1687838256,174,28,34862,C,B,121.75439821138373 29.979150371202415,6207.91
680,258741000,1702798175,1702878164,186,32,49999,C,B,121.74391419091693 29.98181953364116,10712.33
681,441601000,1692425366,1692502633,128,20,13127,C,B,121.78323817164318 29.97243550629892,10398.07
682,352529000,1673657418,1673837636,183,33,46473,C,B,121.75439821138373 29.979150371202415,19689.16
683,447097000,1688176849,1688628056,333,60,319660,D,C,121.81345119675835 29.956549406214588,271649
684,563177800,1680665785,1680839742,293,46,87782,A,C,122.09094289999453 29.897187190163223,74119
685,636019311,1705037673,1705205309,138,23,16225,C,B,121.78323817164318 29.97243550629892,15179.26
686,352055000,1682400686,1682496111,292,45,180999,E,D,122.07685838333425 29.893054494052702,81800
687,538003018,1704338514,1704523412,314,50,113749,A,C,122.09094289999453 29.897187190163223,92128.17
688,311000390,1705369926,1705471202,225,36,54566,A,C,121.97377818306916 29.945100713933336,8000
689,477351400,1702277988,1702325675,334,43,108558,B,A,122.00991809253446 29.771098138093954,1716
690,352001150,1704159885,1704259482,96,15,3124,A,B,121.89906923112821 29.93256276320894,1600.9
691,563589000,1701227393,1701298115,266,36,52190,B,A,122.03102823282664 29.89508922632821,2838
692,567000900,1688011044,1688064036,151,25,18196,B,A,121.84116957510483 29.944137794036124,200
693,413329850,1697114568,1697202166,145,23,12696,B,A,121.92225542141885 29.921236299120544,1434
694,373083000,1701410063,1701513073,292,45,176217,E,D,121.88299170323923 29.936601974988143,69283
695,563036700,1682910008,1683012117,179,28,35058,C,B,121.9529721578593 29.94995541645756,6750
696,538008946,1684292262,1684348707,171,28,23412,B,A,121.92547188203457 29.936120717921202,167
697,477632800,1698997756,1699147136,182,32,47136,C,B,121.74391419091693 29.98181953364116,20382.97
698,205097000,1698309349,1698561034,230,36,54998,A,C,121.97377818306916 29.945100713933336,48074.87
699,477607700,1688269955,1688347514,323,43,105423,B,A,122.01299469099648 29.772993330553064,39
700,538006314,1698214049,1698370247,333,60,300932,D,C,121.81345119675835 29.956549406214588,130810.6
701,538005734,1672745222,1672871115,300,48,115489,B,A,122.03704830124349 29.893930377836373,14008
702,636012252,1673990198,1674050994,275,40,68280,B,A,121.83825180579714 29.945235140108068,1300
703,240586000,1700443086,1700599213,289,45,171926,E,D,121.88299170323923 29.936601974988143,85899
704,228402900,1701563354,1701707745,400,62,220666,B,A,122.02107120092448 29.778912029292396,6519.6
705,357460000,1681542060,1681622839,160,27,25954,C,B,121.97812002297549 29.939168019254215,2850.16
706,636021690,1701815114,1701944211,333,48,136899,B,A,121.83278587017914 29.947227829201804,8380
707,477218900,1688884637,1688936912,145,22,12613,B,A,121.92225542141885 29.921236299120544,1395
708,370170000,1689745575,1689820807,114,19,9118,C,B,121.97812002297549 29.939168019254215,1003
709,636012164,1686795722,1686966311,229,32,71024,D,C,121.78323817164318 29.97243550629892,44956.43
710,565402000,1697537228,1697580609,261,32,50629,B,A,121.83825180579714 29.945235140108068,22
711,563155500,1687547376,1687655162,399,62,241816,B,A,122.02107120092448 29.778912029292396,4623
712,636021228,1700290244,1700448033,226,36,53765,A,B,121.8960833011353 29.93290032975045,46211.72
713,636019989,1675306059,1675401865,183,32,49360,C,B,121.74391419091693 29.98181953364116,5000
714,477157300,1689051495,1689225448,290,47,88613,A,C,122.09094289999453 29.897187190163223,71874
715,636018934,1675307190,1675409658,333,60,319725,D,C,121.99610422984635 29.92340472293356,70624.53
716,477856200,1673334936,1673410754,129,22,13707,C,B,121.74664956036302 29.981807064148477,3000.3
717,574005800,1684352433,1684387839,172,28,21937,B,A,121.92547188203457 29.936120717921202,3200
718,416068000,1704335708,1704430685,149,24,19999,C,B,121.8960833011353 29.93290032975045,7600
719,636092814,1704011575,1704171382,300,48,116933,B,A,122.06000013409714 29.890552673105862,3934.9
720,310757000,1700290232,1700443208,290,46,87981,A,C,122.09094289999453 29.897187190163223,72669
721,413472910,1702523348,1702596658,119,19,5562,A,B,121.8960833011353 29.93290032975045,5005
722,374200000,1682583647,1682652065,179,27,35847,C,B,121.77782813498385 29.974398546735802,666.19
723,352001381,1674035429,1674168851,108,18,6871,C,B,121.89581318351006 29.93222177093501,4750.01
724,477242600,1683404813,1683428035,144,22,12968,B,A,121.92547188203457 29.936120717921202,1918.48
725,413375920,1679709659,1679796930,97,15,4078,C,B,121.9561103968495 29.95190766488247,3153.18
726,248794000,1680585765,1680741837,399,58,198264,B,A,122.02107120092448 29.778912029292396,2625.9
727,372861000,1683781840,1683868401,149,24,21144,C,B,121.9529721578593 29.94995541645756,5800
728,413319110,1689924299,1690006015,119,22,13545,C,B,121.9529721578593 29.94995541645756,6161.61
729,374847000,1675570924,1675734688,180,32,45303,C,B,121.74391419091693 29.98181953364116,19081.39
730,441712000,1691474555,1691565513,109,18,6614,C,B,121.89581318351006 29.93222177093501,5709.16
731,477194100,1705041651,1705140190,400,59,202133,B,A,122.02107120092448 29.778912029292396,4274
732,441025000,1698312818,1698370396,109,18,6583,C,B,121.89906923112821 29.93256276320894,3003.98
733,636015182,1679973804,1680333339,305,40,81145,B,A,121.86442501839048 29.938071272210003,1088
734,441905000,1673574296,1673677735,84,13,2645,C,B,121.89906923112821 29.93256276320894,1000.2
735,636019669,1698195170,1698460302,330,60,299942,D,C,121.8177632951752 29.95400256789684,267981.04
736,563131200,1685764216,1685939148,230,37,57555,A,B,121.9808752760512 29.936644381754785,48223.68
737,477328600,1686370646,1686466711,254,43,115444,E,D,122.07685838333425 29.893054494052702,29350
738,477585400,1701586175,1701639302,172,27,21158,B,A,121.93228463787132 29.940084640162464,1666
739,366562000,1695010436,1695044407,262,32,30825,B,A,121.84116957510483 29.944137794036124,1335
740,636020947,1691803062,1691999895,330,60,297066,D,C,121.99610422984635 29.92340472293356,267159.64
741,308171000,1691824049,1691978747,315,50,121963,A,C,122.09094289999453 29.897187190163223,67519.94
742,357149000,1693719620,1693804432,99,17,4744,A,B,121.89906923112821 29.93256276320894,2322.44
743,372960000,1693045008,1693268819,300,50,206312,E,D,122.07685838333425 29.893054494052702,200355
744,566794000,1686317027,1686421935,335,46,103668,B,A,122.02459458045499 29.78192432924778,1998
745,477087800,1703382093,1703487022,289,45,174232,E,D,121.88299170323923 29.936601974988143,72829
746,636017806,1692112796,1692233695,292,45,179016,E,D,121.88299170323923 29.936601974988143,72900
747,566319000,1693270938,1693408458,349,46,125339,B,A,122.01299469099648 29.772993330553064,6209
748,477625100,1690189244,1690423959,183,32,46238,C,B,121.75439821138373 29.979150371202415,41228.42
749,477754400,1703476047,1703573585,333,60,307587,D,C,121.99610422984635 29.92340472293356,111045.16
750,374607000,1686912043,1687079319,400,61,254992,B,A,122.04040625503215 29.89264034445189,38715
751,352001855,1679369451,1679386301,248,43,105656,D,C,121.97053870035003 29.948500300623,80369.24
752,241410000,1674625857,1674871000,147,23,14999,A,B,121.8960833011353 29.93290032975045,6656.31
753,538009601,1701027102,1701094866,260,32,50900,B,A,121.86982971079169 29.93642695035784,5394
754,636013530,1690792809,1690846509,222,32,39791,B,A,121.83825180579714 29.945235140108068,1275
755,477681300,1697679142,1697864264,300,50,208912,E,D,122.07685838333425 29.893054494052702,114214
756,538004833,1681022243,1681192494,333,60,316373,D,C,121.9900784144446 29.92800063526856,3862.53
757,477220100,1697156062,1697300996,366,48,144162,B,A,122.01299469099648 29.772993330553064,8500
758,212714000,1687776958,1687825866,260,32,50632,B,A,121.83825180579714 29.945235140108068,393.5
759,477333500,1673570373,1673672333,400,59,191422,B,A,122.02107120092448 29.778912029292396,12406.7
760,356847000,1684405828,1684544331,292,45,180803,E,D,122.07685838333425 29.893054494052702,80865
761,636015481,1699495180,1699549240,172,27,22071,B,A,121.83278587017914 29.947227829201804,2952
762,373119000,1705551068,1705634300,335,46,96980,B,A,121.86014084053872 29.939446239013918,135.5
763,636018812,1688891980,1689042439,333,60,320785,D,C,121.8177632951752 29.95400256789684,128332.11
764,416341000,1674832180,1674874133,165,27,15511,B,A,122.03102823282664 29.89508922632821,2053.21
765,412373550,1706312428,1706483539,96,15,3845,C,B,121.97812002297549 29.939168019254215,1571.71
766,256213000,1675245385,1675290754,300,49,117103,B,A,122.00991809253446 29.771098138093954,5129
767,538009769,1702439395,1702534916,298,46,72348,A,C,122.09094289999453 29.897187190163223,61817.08
768,416065000,1674964318,1675122942,149,24,19999,C,B,121.8960833011353 29.93290032975045,18000
769,538003364,1703409641,1703559065,315,50,122006,A,C,122.09094289999453 29.897187190163223,90363.96
770,636020746,1697717801,1697794473,366,51,160927,B,A,121.92547188203457 29.936120717921202,3550
771,355231000,1682045709,1682217007,116,20,11341,C,B,121.89581318351006 29.93222177093501,5704.71
772,352175000,1705206461,1705283005,95,16,4034,A,B,121.89581318351006 29.93222177093501,3006.56
773,477202600,1672625640,1672731727,333,60,317975,D,C,121.99610422984635 29.92340472293356,132367.32
774,636014628,1693481463,1693620492,292,45,178043,E,D,122.07685838333425 29.893054494052702,77541
775,354433000,1673334534,1673568263,330,60,299118,D,C,121.99610422984635 29.92340472293356,266566.49
776,352978194,1694782046,1694931931,333,48,136899,B,A,121.83278587017914 29.947227829201804,33841.7
777,477439900,1678191323,1678245571,148,23,13273,B,A,122.03102823282664 29.89508922632821,156
778,477986400,1678010552,1678082924,230,38,92648,E,D,122.07685838333425 29.893054494052702,30100
779,563377000,1686424540,1686515293,368,51,157794,B,A,122.02459458045499 29.78192432924778,15000
780,563051100,1677374712,1677474656,300,48,112233,B,A,122.03102823282664 29.89508922632821,9341
781,477332000,1698109743,1698191461,180,32,44428,C,B,121.75109782011569 29.9804931127261,1724.3
782,440134000,1677392729,1677479558,120,20,12823,C,B,121.78323817164318 29.97243550629892,9815
783,441346000,1677134037,1677204683,93,15,4050,C,B,121.8960833011353 29.93290032975045,3001.25
784,416070000,1691731109,1691855477,400,62,241960,B,A,122.01772291936598 29.776682898612826,1000
785,477372400,1678692639,1678694090,333,60,307105,D,C,121.8177632951752 29.95400256789684,131675.62
786,636018102,1700913930,1700970132,332,42,103371,B,A,122.00991809253446 29.771098138093954,641
787,636019097,1676975499,1677125992,292,45,175656,E,D,121.88299170323923 29.936601974988143,79572
788,356421000,1689902310,1690072865,290,45,86272,A,C,122.09094289999453 29.897187190163223,70298
789,370121000,1699394529,1699508744,400,59,199692,B,A,122.02107120092448 29.778912029292396,3195.5
790,538007495,1686703294,1686875849,330,60,303120,D,C,121.8177632951752 29.95400256789684,260841.06
791,440205000,1682311266,1682474043,116,20,11260,C,B,121.89906923112821 29.93256276320894,8572.74
792,441113000,1702532119,1702603031,123,20,12514,C,B,121.97812002297549 29.939168019254215,992.11
793,228420700,1676079141,1676251478,299,47,95548,A,C,122.09094289999453 29.897187190163223,72056
794,241785000,1687927153,1688096784,274,48,156669,D,C,121.81345119675835 29.956549406214588,139897.18
795,403450000,1704606380,1704764719,333,60,321050,D,C,121.81345119675835 29.956549406214588,118092.4
796,538002666,1694582365,1694639465,170,25,20307,B,A,122.00491060230848 29.76673611935694,3419
797,441712000,1672793380,1672963355,109,18,6614,C,B,121.89581318351006 29.93222177093501,6090.23
798,636020886,1698143342,1698206315,260,32,50914,B,A,122.04954154331483 29.890458695384908,1390.6
799,636020781,1677975071,1678036126,260,32,50595,B,A,122.06350371165705 29.891022988210633,2093
800,356575000,1697279989,1697329685,316,46,90488,B,A,121.86014084053872 29.939446239013918,750
801,477242900,1697080918,1697247223,330,60,297388,D,C,121.81345119675835 29.956549406214588,128377.53
802,566941000,1705016633,1705083232,223,30,39611,B,A,121.84116957510483 29.944137794036124,2775
803,413455950,1684233621,1684282716,144,23,12574,B,A,122.03102823282664 29.89508922632821,1872
804,477333900,1689444052,1689521095,300,48,111203,B,A,122.01299469099648 29.772993330553064,2143.2
805,566949000,1678163112,1678262127,335,46,103668,B,A,122.02459458045499 29.78192432924778,15000
806,431878000,1679726495,1679804737,182,28,37981,C,B,121.77782813498385 29.974398546735802,5219.24
807,416068000,1690001732,1690172045,149,24,19999,C,B,121.89906923112821 29.93256276320894,4999.59
808,538003020,1697253664,1697429106,315,49,113609,A,C,122.09094289999453 29.897187190163223,62082.82
809,477127300,1701479293,1701587136,330,60,296370,D,C,121.99610422984635 29.92340472293356,126790.72
810,636021913,1678781803,1678837775,265,32,53682,B,A,122.0464197431265 29.8909733510863,13
811,538007136,1687768607,1687995707,183,32,36681,D,C,122.11536286626986 29.9081121196694,31094.9
812,354280000,1697511689,1697603239,105,16,4036,A,B,121.8960833011353 29.93290032975045,2301.41
813,563001700,1704675000,1704788515,299,48,117172,B,A,122.03704830124349 29.893930377836373,7162.8
814,477682400,1686213166,1686288802,92,14,3560,C,B,121.75102788409284 29.976417555460966,3049.57
815,566882000,1706014417,1706151629,398,51,176774,B,A,122.01299469099648 29.772993330553064,14392.4
816,440207000,1695284972,1696727834,100,14,2983,A,B,121.74526834273715 29.975417393334514,1909.7
817,311000125,1672751310,1672834525,292,45,179354,E,D,121.88299170323923 29.936601974988143,73100
818,563087600,1705825637,1705907292,186,36,37621,B,A,121.84116957510483 29.944137794036124,1338
819,311000251,1683865421,1684019866,225,36,54335,A,C,121.97377818306916 29.945100713933336,23000
820,636015005,1704516105,1704582668,155,25,23324,C,B,121.75439821138373 29.979150371202415,2998.64
821,412474590,1675118835,1675235919,110,18,4378,A,B,121.89906923112821 29.93256276320894,3950
822,477067300,1673216262,1673577209,292,45,180958,E,D,121.88299170323923 29.936601974988143,173612
823,440037000,1700287554,1700357822,96,15,3197,A,B,121.89906923112821 29.93256276320894,1552.82
824,636022175,1686691595,1686738970,172,27,22750,B,A,121.83557254458088 29.946175822681994,2488
825,636022586,1698131669,1698292654,292,45,178090,E,D,122.07685838333425 29.893054494052702,73693
826,477541700,1681610438,1681786882,330,60,297244,D,C,121.9900784144446 29.92800063526856,130598
827,212656000,1689921693,1690087839,183,33,49999,C,B,121.74391419091693 29.98181953364116,9187.71
828,563155500,1695059299,1695176740,399,62,241816,B,A,122.02107120092448 29.778912029292396,1120
829,413472910,1684811868,1684888615,119,19,5562,A,B,121.89906923112821 29.93256276320894,5005
830,563000900,1684081265,1684107510,335,43,102861,B,A,122.04954154331483 29.890458695384908,2450
831,538010320,1682995023,1683267096,249,44,109995,D,C,121.9900784144446 29.92800063526856,78573
832,356212000,1683686703,1683694659,174,28,33944,C,B,121.75439821138373 29.979150371202415,4180.66
833,440213000,1703984325,1704079172,92,14,3613,C,B,121.97812002297549 29.939168019254215,3003
834,538005330,1691483394,1691609354,292,45,179185,E,D,121.88299170323923 29.936601974988143,81661
835,477191800,1689834663,1690012973,333,60,311054,D,C,121.99610422984635 29.92340472293356,132347.09
836,215240000,1693828297,1693928045,294,32,65890,B,A,121.86442501839048 29.938071272210003,9000
837,441354000,1693360874,1693437371,121,20,12755,C,B,121.89906923112821 29.93256276320894,5704
838,477793100,1695194228,1695360519,333,60,318123,D,C,121.8177632951752 29.95400256789684,137296.2
839,403643000,1682319326,1682397843,183,35,55202,C,B,121.78323817164318 29.97243550629892,9389.14
840,215736000,1705298889,1705456160,150,24,19992,C,B,121.9529721578593 29.94995541645756,9298
841,538005016,1687330078,1687753299,134,23,14968,D,C,122.11536286626986 29.9081121196694,13731
842,564757000,1689537671,1689580504,228,37,51783,B,A,122.00491060230848 29.76673611935694,12365
843,538003849,1698557600,1698640132,183,32,45335,C,B,121.77782813498385 29.974398546735802,10368.88
844,477172200,1702888756,1702966527,124,19,12259,C,B,121.97812002297549 29.939168019254215,3000
845,477219800,1685676881,1685865695,333,60,322829,D,C,121.9900784144446 29.92800063526856,280921.6
846,538009680,1683349158,1683515926,230,37,58243,A,C,121.9808752760512 29.936644381754785,23000
847,212656000,1681877104,1681957175,183,33,49999,C,B,121.74391419091693 29.98181953364116,10701.86
